feature,importance
NDVI,0.6385708118268141
soil_ph,0.2378201255228131
BSI,0.0495597137985563
NDBI,0.026208812917621817
slope_deg,0.023560931448934046
NDMI,0.021931420932143817
SAVI,0.0007260595697199905
NDWI,0.00034200760545272715
annual_rain_mm,0.0002623936023984701
mean_temp_c,0.00024372948305250377
EVI,0.00011011225436822762
elevation_m,9.82864638570845e-05
BLUE,7.981194913653824e-05
soil_org_carbon,7.942281979679737e-05
RED,7.667230504723963e-05
SWIR2,5.626772887068187e-05
NIR,5.433049101094158e-05
GREEN,5.020962994120661e-05
SWIR1,4.8068921988535724e-05
RE1,4.554851348659507e-05
RE3,3.803445626805438e-05
RE2,3.7227758721357694e-05
