feature,importance
NDVI,0.6442710118501985
soil_ph,0.22314299033408047
BSI,0.06407554317267299
slope_deg,0.03313422665399723
NDBI,0.019165749279687422
NDMI,0.01447814278489529
soil_org_carbon,0.0008855458256869824
NDWI,0.00019994396094950075
elevation_m,9.033145607642253e-05
SAVI,7.566990610679399e-05
EVI,6.338667711589504e-05
SWIR2,5.8362954163275004e-05
BLUE,5.760400794372033e-05
RED,4.789582638711757e-05
GREEN,4.357213938948537e-05
SWIR1,4.2697241499568113e-05
NIR,4.0692230211026094e-05
RE1,3.696742143916079e-05
RE3,3.6509587224436285e-05
RE2,3.46432603105383e-05
mean_temp_c,9.463986852326964e-06
annual_rain_mm,9.04944311186843e-06
