feature,importance
NDVI,0.6161828350850795
soil_ph,0.19303601182167185
NDWI,0.09861618933176372
BSI,0.058353147901739684
slope_deg,0.020223690905914447
NDBI,0.00762198578678112
NDMI,0.003397798422606572
soil_org_carbon,0.001912644238973114
NIR,0.00021247106315135247
SAVI,0.00010407667124734654
elevation_m,4.691151035541513e-05
SWIR2,3.81011184707841e-05
BLUE,3.675634275725841e-05
EVI,3.6536700441664655e-05
RED,3.6195732893841605e-05
SWIR1,3.445652671014638e-05
GREEN,3.1842736442622966e-05
RE1,2.3940383378377934e-05
RE3,2.1155320200427584e-05
RE2,2.0620390641270307e-05
annual_rain_mm,6.57753620992704e-06
mean_temp_c,6.054472569533523e-06
